elapsed time,timestamp,topic,value
19.767,1746018918.567000000,/flightmare_control/control_delay_ms.data,30.37118911743164
19.826,1746018918.626000000,/flightmare_control/control_delay_ms.data,46.239614486694336
19.861,1746018918.661000000,/flightmare_control/control_delay_ms.data,27.862071990966797
19.872,1746018918.672000000,/flightmare_control/control_delay_ms.data,24.338245391845703
19.956,1746018918.756000000,/flightmare_control/control_delay_ms.data,41.06616973876953
19.956,1746018918.756000000,/flightmare_control/control_delay_ms.data,61.13767623901367
19.985,1746018918.785000000,/flightmare_control/control_delay_ms.data,23.82826805114746
20.02,1746018918.820000000,/flightmare_control/control_delay_ms.data,29.822349548339844
20.057,1746018918.857000000,/flightmare_control/control_delay_ms.data,32.56511688232422
20.087,1746018918.887000000,/flightmare_control/control_delay_ms.data,21.2094783782959
20.102,1746018918.902000000,/flightmare_control/control_delay_ms.data,24.44171905517578
20.12,1746018918.920000000,/flightmare_control/control_delay_ms.data,19.980192184448242
20.186,1746018918.986000000,/flightmare_control/control_delay_ms.data,24.188518524169922
20.188,1746018918.988000000,/flightmare_control/control_delay_ms.data,26.690959930419922
20.205,1746018919.005000000,/flightmare_control/control_delay_ms.data,25.249004364013672
20.22,1746018919.020000000,/flightmare_control/control_delay_ms.data,16.945600509643555
20.26,1746018919.060000000,/flightmare_control/control_delay_ms.data,36.412715911865234
20.308,1746018919.108000000,/flightmare_control/control_delay_ms.data,33.94889831542969
20.311,1746018919.111000000,/flightmare_control/control_delay_ms.data,40.680885314941406
20.37,1746018919.170000000,/flightmare_control/control_delay_ms.data,25.585412979125977
20.39,1746018919.190000000,/flightmare_control/control_delay_ms.data,23.087024688720703
20.406,1746018919.206000000,/flightmare_control/control_delay_ms.data,26.634693145751953
20.419,1746018919.219000000,/flightmare_control/control_delay_ms.data,22.057056427001953
20.473,1746018919.273000000,/flightmare_control/control_delay_ms.data,29.19149398803711
20.498,1746018919.298000000,/flightmare_control/control_delay_ms.data,38.12694549560547
20.516,1746018919.316000000,/flightmare_control/control_delay_ms.data,27.93097496032715
20.545,1746018919.345000000,/flightmare_control/control_delay_ms.data,15.800714492797852
20.545,1746018919.345000000,/flightmare_control/control_delay_ms.data,31.000137329101562
20.616,1746018919.416000000,/flightmare_control/control_delay_ms.data,18.996715545654297
20.616,1746018919.416000000,/flightmare_control/control_delay_ms.data,31.897544860839844
20.631,1746018919.431000000,/flightmare_control/control_delay_ms.data,19.810914993286133
20.648,1746018919.448000000,/flightmare_control/control_delay_ms.data,19.582033157348633
20.683,1746018919.483000000,/flightmare_control/control_delay_ms.data,17.183780670166016
20.692,1746018919.492000000,/flightmare_control/control_delay_ms.data,25.176286697387695
20.721,1746018919.521000000,/flightmare_control/control_delay_ms.data,38.278818130493164
20.752,1746018919.552000000,/flightmare_control/control_delay_ms.data,31.908273696899414
20.786,1746018919.586000000,/flightmare_control/control_delay_ms.data,17.142772674560547
20.826,1746018919.626000000,/flightmare_control/control_delay_ms.data,31.662464141845703
20.842,1746018919.642000000,/flightmare_control/control_delay_ms.data,33.127784729003906
20.871,1746018919.671000000,/flightmare_control/control_delay_ms.data,24.956226348876953
20.91,1746018919.710000000,/flightmare_control/control_delay_ms.data,21.4080810546875
21.02,1746018919.820000000,/flightmare_control/control_delay_ms.data,25.229692459106445
21.02,1746018919.820000000,/flightmare_control/control_delay_ms.data,44.8908805847168
21.023,1746018919.823000000,/flightmare_control/control_delay_ms.data,21.487712860107422
21.023,1746018919.823000000,/flightmare_control/control_delay_ms.data,31.158447265625
21.064,1746018919.864000000,/flightmare_control/control_delay_ms.data,23.855209350585938
21.1,1746018919.900000000,/flightmare_control/control_delay_ms.data,31.991958618164062
21.1,1746018919.900000000,/flightmare_control/control_delay_ms.data,13.81683349609375
21.133,1746018919.933000000,/flightmare_control/control_delay_ms.data,21.203279495239258
21.133,1746018919.933000000,/flightmare_control/control_delay_ms.data,20.264148712158203
21.159,1746018919.959000000,/flightmare_control/control_delay_ms.data,15.650510787963867
21.205,1746018920.005000000,/flightmare_control/control_delay_ms.data,19.91438865661621
21.205,1746018920.005000000,/flightmare_control/control_delay_ms.data,21.26789093017578
21.266,1746018920.066000000,/flightmare_control/control_delay_ms.data,62.81089782714844
21.274,1746018920.074000000,/flightmare_control/control_delay_ms.data,27.485370635986328
21.333,1746018920.133000000,/flightmare_control/control_delay_ms.data,30.24435043334961
21.362,1746018920.162000000,/flightmare_control/control_delay_ms.data,23.395538330078125
21.362,1746018920.162000000,/flightmare_control/control_delay_ms.data,18.65243911743164
21.401,1746018920.201000000,/flightmare_control/control_delay_ms.data,22.576570510864258
21.426,1746018920.226000000,/flightmare_control/control_delay_ms.data,22.727012634277344
21.433,1746018920.233000000,/flightmare_control/control_delay_ms.data,21.19922637939453
21.469,1746018920.269000000,/flightmare_control/control_delay_ms.data,34.4390869140625
21.494,1746018920.294000000,/flightmare_control/control_delay_ms.data,24.408817291259766
21.495,1746018920.295000000,/flightmare_control/control_delay_ms.data,17.334699630737305
21.522,1746018920.322000000,/flightmare_control/control_delay_ms.data,30.553817749023438
21.584,1746018920.384000000,/flightmare_control/control_delay_ms.data,29.77609634399414
21.6,1746018920.400000000,/flightmare_control/control_delay_ms.data,40.88020324707031
21.634,1746018920.434000000,/flightmare_control/control_delay_ms.data,25.92015266418457
21.663,1746018920.463000000,/flightmare_control/control_delay_ms.data,59.12375450134277
21.709,1746018920.509000000,/flightmare_control/control_delay_ms.data,18.79286766052246
21.751,1746018920.551000000,/flightmare_control/control_delay_ms.data,28.84197235107422
21.753,1746018920.553000000,/flightmare_control/control_delay_ms.data,38.552045822143555
21.794,1746018920.594000000,/flightmare_control/control_delay_ms.data,34.83724594116211
21.81,1746018920.610000000,/flightmare_control/control_delay_ms.data,22.98283576965332
21.9,1746018920.700000000,/flightmare_control/control_delay_ms.data,31.340360641479492
21.9,1746018920.700000000,/flightmare_control/control_delay_ms.data,31.618356704711914
21.926,1746018920.726000000,/flightmare_control/control_delay_ms.data,32.61256217956543
21.954,1746018920.754000000,/flightmare_control/control_delay_ms.data,27.005434036254883
21.969,1746018920.769000000,/flightmare_control/control_delay_ms.data,24.356842041015625
22.018,1746018920.818000000,/flightmare_control/control_delay_ms.data,30.927658081054688
22.018,1746018920.818000000,/flightmare_control/control_delay_ms.data,23.711681365966797
22.041,1746018920.841000000,/flightmare_control/control_delay_ms.data,22.83644676208496
22.109,1746018920.909000000,/flightmare_control/control_delay_ms.data,33.52713584899902
22.132,1746018920.932000000,/flightmare_control/control_delay_ms.data,40.961265563964844
